label,w1_hi,w1_lo,w1_mode,D_hat,theta_signed_deg,theta_axis_deg,D_parallel,D_perp,depth_mode,eclip_template
ecliponly,15.5,,cumulative,0.01700160554933159,1.3546099891117345,1.3546099891117345,0.016996854134012883,0.0004019213880249695,none,abs_elat
ecliponly,15.55,,cumulative,0.017369957374599395,1.8025149100952136,1.8025149100952136,0.017361362384032405,0.0005463655971092932,none,abs_elat
ecliponly,15.6,,cumulative,0.017007422979119422,2.7766431947348265,2.7766431947348265,0.01698745572221425,0.0008238837760811606,none,abs_elat
ecliponly,15.65,,cumulative,0.017336364918602094,5.001624318813002,5.001624318813002,0.01727035197376844,0.0015114533711265675,none,abs_elat
ecliponly,15.7,,cumulative,0.016369080732195892,7.2678963904651885,7.2678963904651885,0.016237563073509254,0.002070833033094523,none,abs_elat
ecliponly,15.75,,cumulative,0.01629345634720367,6.760697926197459,6.760697926197459,0.016180159696871702,0.0019181115509688726,none,abs_elat
ecliponly,15.8,,cumulative,0.01651644594426033,7.136944789551051,7.136944789551051,0.01638847705536159,0.002052024959780043,none,abs_elat
ecliponly,15.85,,cumulative,0.016767882365594428,11.160586010041651,11.160586010041651,0.01645077719216178,0.003245582967705853,none,abs_elat
ecliponly,15.9,,cumulative,0.01583052366004936,11.501072125960016,11.501072125960016,0.015512662161526313,0.0031563890783191475,none,abs_elat
ecliponly,15.95,,cumulative,0.016444368250192447,11.701333561727768,11.701333561727768,0.016102622876996917,0.0033350837514450676,none,abs_elat
ecliponly,16.0,,cumulative,0.016619897465516013,14.374535675096734,14.374535675096734,0.01609958817923062,0.004126045591537156,none,abs_elat
ecliponly,16.05,,cumulative,0.016891580461406024,18.41979095442693,18.41979095442693,0.016026172842565436,0.005337347141077845,none,abs_elat
ecliponly,16.1,,cumulative,0.017215745687731637,20.554367012205674,20.554367012205674,0.016119782049304938,0.006044379725625842,none,abs_elat
ecliponly,16.15,,cumulative,0.017113379159124524,23.014650903150063,23.014650903150063,0.015751238219653654,0.0066907578637759434,none,abs_elat
ecliponly,16.2,,cumulative,0.017292824824720703,24.426683692859545,24.426683692859545,0.01574496433771591,0.007151076032495443,none,abs_elat
ecliponly,16.25,,cumulative,0.01691531361475625,25.061209920521627,25.061209920521627,0.015322834619607888,0.0071650941309730305,none,abs_elat
ecliponly,16.3,,cumulative,0.016782744782714888,25.262790736121314,25.262790736121314,0.015177641318175922,0.007162382736111137,none,abs_elat
ecliponly,16.35,,cumulative,0.016439471033559295,27.671085179495968,27.671085179495968,0.014559257490483373,0.0076344108606387516,none,abs_elat
ecliponly,16.4,,cumulative,0.016326581297788644,27.99845087582657,27.99845087582657,0.0144157228886337,0.00766447587715066,none,abs_elat
ecliponly,16.45,,cumulative,0.015980110201450428,27.982289919533898,27.982289919533898,0.014111918088311798,0.007497845685213741,none,abs_elat
ecliponly,16.5,,cumulative,0.015572083749266925,27.699003702949454,27.699003702949454,0.013787549558104344,0.007238319520233946,none,abs_elat
ecliponly,16.55,,cumulative,0.015973508811564587,30.76316832051832,30.76316832051832,0.013725858464947302,0.008170299453102438,none,abs_elat
ecliponly,16.6,,cumulative,0.016778520598772835,34.33289993703882,34.33289993703882,0.013855275712833683,0.009463090848385924,none,abs_elat
w1cov_covariate,15.5,,cumulative,0.016402171168922893,8.266581920361585,8.266581920361585,0.016231749613855016,0.0023582882622281295,w1cov_covariate,abs_elat
w1cov_covariate,15.55,,cumulative,0.01686274015937286,9.603115808771085,9.603115808771085,0.016626442017309413,0.002813082211307431,w1cov_covariate,abs_elat
w1cov_covariate,15.6,,cumulative,0.016567653807459296,10.438579423164919,10.438579423164919,0.016293454124604232,0.003001750384898425,w1cov_covariate,abs_elat
w1cov_covariate,15.65,,cumulative,0.01687377971362001,10.719228394239483,10.719228394239483,0.016579339542353636,0.0031384617511008945,w1cov_covariate,abs_elat
w1cov_covariate,15.7,,cumulative,0.01589478830768243,12.310691601170062,12.310691601170062,0.01552930044869053,0.0033889707759640277,w1cov_covariate,abs_elat
w1cov_covariate,15.75,,cumulative,0.015767140988845192,10.323266704349491,10.323266704349491,0.015511908008571008,0.00282549905251316,w1cov_covariate,abs_elat
w1cov_covariate,15.8,,cumulative,0.016029784199417488,11.572005461190924,11.572005461190924,0.015703952846696664,0.0032155631650804674,w1cov_covariate,abs_elat
w1cov_covariate,15.85,,cumulative,0.016076039537023943,12.072288854649699,12.072288854649699,0.015720509958017097,0.003362233462423792,w1cov_covariate,abs_elat
w1cov_covariate,15.9,,cumulative,0.015065168746164823,11.458359380853649,11.458359380853649,0.014764909984515493,0.0029927817326988776,w1cov_covariate,abs_elat
w1cov_covariate,15.95,,cumulative,0.01568926648142556,11.67660705848113,11.67660705848113,0.015364585329336506,0.0031753110686546845,w1cov_covariate,abs_elat
w1cov_covariate,16.0,,cumulative,0.015819790881537902,13.66649605586466,13.66649605586466,0.015371892197478665,0.0037377418055136325,w1cov_covariate,abs_elat
w1cov_covariate,16.05,,cumulative,0.0159661833368841,17.20580419777842,17.20580419777842,0.015251671107372486,0.0047228739957291665,w1cov_covariate,abs_elat
w1cov_covariate,16.1,,cumulative,0.016233423734771272,18.865400608877135,18.865400608877135,0.01536137705875601,0.005249013336938651,w1cov_covariate,abs_elat
w1cov_covariate,16.15,,cumulative,0.016095018680567435,21.689147131749607,21.689147131749607,0.014955533070826768,0.005948248220713518,w1cov_covariate,abs_elat
w1cov_covariate,16.2,,cumulative,0.016278327140356885,23.415828159166587,23.415828159166587,0.014937723509312231,0.006469030131930151,w1cov_covariate,abs_elat
