label,w1_hi,w1_lo,w1_mode,D_hat,theta_signed_deg,theta_axis_deg,D_parallel,D_perp,depth_mode,eclip_template
baseline,15.5,,cumulative,0.01700160554933159,1.3546099891117345,1.3546099891117345,0.016996854134012883,0.0004019213880249695,none,abs_elat
baseline,15.55,,cumulative,0.017369957374599395,1.8025149100952136,1.8025149100952136,0.017361362384032405,0.0005463655971092932,none,abs_elat
baseline,15.6,,cumulative,0.017007422979119422,2.7766431947348265,2.7766431947348265,0.01698745572221425,0.0008238837760811606,none,abs_elat
baseline,15.65,,cumulative,0.017336364918602094,5.001624318813002,5.001624318813002,0.01727035197376844,0.0015114533711265675,none,abs_elat
baseline,15.7,,cumulative,0.016369080732195892,7.2678963904651885,7.2678963904651885,0.016237563073509254,0.002070833033094523,none,abs_elat
baseline,15.75,,cumulative,0.01629345634720367,6.760697926197459,6.760697926197459,0.016180159696871702,0.0019181115509688726,none,abs_elat
baseline,15.8,,cumulative,0.01651644594426033,7.136944789551051,7.136944789551051,0.01638847705536159,0.002052024959780043,none,abs_elat
baseline,15.85,,cumulative,0.016767882365594428,11.160586010041651,11.160586010041651,0.01645077719216178,0.003245582967705853,none,abs_elat
baseline,15.9,,cumulative,0.01583052366004936,11.501072125960016,11.501072125960016,0.015512662161526313,0.0031563890783191475,none,abs_elat
baseline,15.95,,cumulative,0.016444368250192447,11.701333561727768,11.701333561727768,0.016102622876996917,0.0033350837514450676,none,abs_elat
baseline,16.0,,cumulative,0.016619897465516013,14.374535675096734,14.374535675096734,0.01609958817923062,0.004126045591537156,none,abs_elat
baseline,16.05,,cumulative,0.016891580461406024,18.41979095442693,18.41979095442693,0.016026172842565436,0.005337347141077845,none,abs_elat
baseline,16.1,,cumulative,0.017215745687731637,20.554367012205674,20.554367012205674,0.016119782049304938,0.006044379725625842,none,abs_elat
baseline,16.15,,cumulative,0.017113379159124524,23.014650903150063,23.014650903150063,0.015751238219653654,0.0066907578637759434,none,abs_elat
baseline,16.2,,cumulative,0.017292824824720703,24.426683692859545,24.426683692859545,0.01574496433771591,0.007151076032495443,none,abs_elat
baseline,16.25,,cumulative,0.01691531361475625,25.061209920521627,25.061209920521627,0.015322834619607888,0.0071650941309730305,none,abs_elat
baseline,16.3,,cumulative,0.016782744782714888,25.262790736121314,25.262790736121314,0.015177641318175922,0.007162382736111137,none,abs_elat
baseline,16.35,,cumulative,0.016439471033559295,27.671085179495968,27.671085179495968,0.014559257490483373,0.0076344108606387516,none,abs_elat
baseline,16.4,,cumulative,0.016326581297788644,27.99845087582657,27.99845087582657,0.0144157228886337,0.00766447587715066,none,abs_elat
baseline,16.45,,cumulative,0.015980110201450428,27.982289919533898,27.982289919533898,0.014111918088311798,0.007497845685213741,none,abs_elat
baseline,16.5,,cumulative,0.015572083749266925,27.699003702949454,27.699003702949454,0.013787549558104344,0.007238319520233946,none,abs_elat
baseline,16.55,,cumulative,0.015973508811564587,30.76316832051832,30.76316832051832,0.013725858464947302,0.008170299453102438,none,abs_elat
baseline,16.6,,cumulative,0.016778520598772835,34.33289993703882,34.33289993703882,0.013855275712833683,0.009463090848385924,none,abs_elat
gaia_logp_extonly,15.5,,cumulative,0.01758672599141808,5.399403832944961,5.399403832944961,0.01750869269900287,0.0016548749406235714,depth_map_covariate,abs_elat
gaia_logp_extonly,15.55,,cumulative,0.019244693516174364,12.090811137893043,12.090811137893043,0.01881778543826743,0.00403102713099451,depth_map_covariate,abs_elat
gaia_logp_extonly,15.6,,cumulative,0.01775435194072358,5.72439774782916,5.72439774782916,0.017665814313178787,0.001770880427178138,depth_map_covariate,abs_elat
gaia_logp_extonly,15.65,,cumulative,0.017302429778673568,5.295854231126758,5.295854231126758,0.017228572268169016,0.0015969889938278897,depth_map_covariate,abs_elat
gaia_logp_extonly,15.7,,cumulative,0.01737809050112093,3.8246606409880854,3.8246606409880854,0.01733938690357935,0.0011591769809353772,depth_map_covariate,abs_elat
gaia_logp_extonly,15.75,,cumulative,0.016283654010031276,6.884636993143217,6.884636993143217,0.016166241034441933,0.0019519320517716347,depth_map_covariate,abs_elat
gaia_logp_extonly,15.8,,cumulative,0.016353289638165066,9.359230186724393,9.359230186724393,0.016135596760579494,0.00265943587433378,depth_map_covariate,abs_elat
gaia_logp_extonly,15.85,,cumulative,0.016644196171467136,13.674492317365909,13.674492317365909,0.016172407483249402,0.003934781110814167,depth_map_covariate,abs_elat
gaia_logp_extonly,15.9,,cumulative,0.016037397428017824,8.312118243296382,8.312118243296382,0.015868928338937043,0.002318454148322458,depth_map_covariate,abs_elat
gaia_logp_extonly,15.95,,cumulative,0.01690988510866807,5.623485460002949,5.623485460002949,0.01682850319682754,0.0016570137424654974,depth_map_covariate,abs_elat
gaia_logp_extonly,16.0,,cumulative,0.016733101244193638,12.076600793722433,12.076600793722433,0.016362776998254728,0.003500886481138835,depth_map_covariate,abs_elat
gaia_logp_extonly,16.05,,cumulative,0.01737370268454792,9.380743924602676,9.380743924602676,0.017141364102798547,0.0028318159661879496,depth_map_covariate,abs_elat
gaia_logp_extonly,16.1,,cumulative,0.017255968173758195,18.560657118134923,18.560657118134923,0.016358437022283123,0.005492720255188003,depth_map_covariate,abs_elat
gaia_logp_extonly,16.15,,cumulative,0.0173460551888839,14.16679180254168,14.16679180254168,0.01681851594977539,0.004245368283548194,depth_map_covariate,abs_elat
gaia_logp_extonly,16.2,,cumulative,0.01775887665098173,10.653461494465258,10.653461494465258,0.017452771868832775,0.0032830555888171335,depth_map_covariate,abs_elat
