label,w1_hi,w1_lo,w1_mode,D_hat,theta_signed_deg,theta_axis_deg,D_parallel,D_perp,depth_mode,eclip_template
baseline_ecliponly,15.5,,cumulative,0.01700160554933159,1.3546099891117345,1.3546099891117345,0.016996854134012883,0.0004019213880249695,none,abs_elat
baseline_ecliponly,15.55,,cumulative,0.017369957374599395,1.8025149100952136,1.8025149100952136,0.017361362384032405,0.0005463655971092932,none,abs_elat
baseline_ecliponly,15.6,,cumulative,0.017007422979119422,2.7766431947348265,2.7766431947348265,0.01698745572221425,0.0008238837760811606,none,abs_elat
baseline_ecliponly,15.65,,cumulative,0.017336364918602094,5.001624318813002,5.001624318813002,0.01727035197376844,0.0015114533711265675,none,abs_elat
baseline_ecliponly,15.7,,cumulative,0.016369080732195892,7.2678963904651885,7.2678963904651885,0.016237563073509254,0.002070833033094523,none,abs_elat
baseline_ecliponly,15.75,,cumulative,0.01629345634720367,6.760697926197459,6.760697926197459,0.016180159696871702,0.0019181115509688726,none,abs_elat
baseline_ecliponly,15.8,,cumulative,0.01651644594426033,7.136944789551051,7.136944789551051,0.01638847705536159,0.002052024959780043,none,abs_elat
baseline_ecliponly,15.85,,cumulative,0.016767882365594428,11.160586010041651,11.160586010041651,0.01645077719216178,0.003245582967705853,none,abs_elat
baseline_ecliponly,15.9,,cumulative,0.01583052366004936,11.501072125960016,11.501072125960016,0.015512662161526313,0.0031563890783191475,none,abs_elat
baseline_ecliponly,15.95,,cumulative,0.016444368250192447,11.701333561727768,11.701333561727768,0.016102622876996917,0.0033350837514450676,none,abs_elat
baseline_ecliponly,16.0,,cumulative,0.016619897465516013,14.374535675096734,14.374535675096734,0.01609958817923062,0.004126045591537156,none,abs_elat
baseline_ecliponly,16.05,,cumulative,0.016891580461406024,18.41979095442693,18.41979095442693,0.016026172842565436,0.005337347141077845,none,abs_elat
baseline_ecliponly,16.1,,cumulative,0.017215745687731637,20.554367012205674,20.554367012205674,0.016119782049304938,0.006044379725625842,none,abs_elat
baseline_ecliponly,16.15,,cumulative,0.017113379159124524,23.014650903150063,23.014650903150063,0.015751238219653654,0.0066907578637759434,none,abs_elat
baseline_ecliponly,16.2,,cumulative,0.017292824824720703,24.426683692859545,24.426683692859545,0.01574496433771591,0.007151076032495443,none,abs_elat
baseline_ecliponly,16.25,,cumulative,0.01691531361475625,25.061209920521627,25.061209920521627,0.015322834619607888,0.0071650941309730305,none,abs_elat
baseline_ecliponly,16.3,,cumulative,0.016782744782714888,25.262790736121314,25.262790736121314,0.015177641318175922,0.007162382736111137,none,abs_elat
baseline_ecliponly,16.35,,cumulative,0.016439471033559295,27.671085179495968,27.671085179495968,0.014559257490483373,0.0076344108606387516,none,abs_elat
baseline_ecliponly,16.4,,cumulative,0.016326581297788644,27.99845087582657,27.99845087582657,0.0144157228886337,0.00766447587715066,none,abs_elat
baseline_ecliponly,16.45,,cumulative,0.015980110201450428,27.982289919533898,27.982289919533898,0.014111918088311798,0.007497845685213741,none,abs_elat
baseline_ecliponly,16.5,,cumulative,0.015572083749266925,27.699003702949454,27.699003702949454,0.013787549558104344,0.007238319520233946,none,abs_elat
baseline_ecliponly,16.55,,cumulative,0.015973508811564587,30.76316832051832,30.76316832051832,0.013725858464947302,0.008170299453102438,none,abs_elat
baseline_ecliponly,16.6,,cumulative,0.016778520598772835,34.33289993703882,34.33289993703882,0.013855275712833683,0.009463090848385924,none,abs_elat
sdss_invvar_dm_offset,15.5,,cumulative,0.06319090899753789,62.343073862302894,62.343073862302894,0.029331721862770537,0.05597089486956756,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.55,,cumulative,0.06266300603563131,61.856984357645516,61.856984357645516,0.029556511838591603,0.05525454672112297,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.6,,cumulative,0.06261421794032467,62.07816441068052,62.07816441068052,0.029320146066253345,0.055325123794999716,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.65,,cumulative,0.06269412359212882,61.60299652200212,61.60299652200212,0.02981595866952777,0.055150355770404016,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.7,,cumulative,0.06068917854028865,61.91699572409003,61.91699572409003,0.02856944257294235,0.053544031814632534,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.75,,cumulative,0.06069984913595988,61.9946701012765,61.9946701012765,0.028501838527852093,0.053592134550328706,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.8,,cumulative,0.05971347134604028,61.50575895856385,61.50575895856385,0.028487531182595477,0.05248008410163825,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.85,,cumulative,0.06027408982464279,61.369002301006525,61.369002301006525,0.02888134196707618,0.05290400731863241,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.9,,cumulative,0.06137000468219103,62.6057971822613,62.6057971822613,0.028236949990841337,0.054488091633923784,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,15.95,,cumulative,0.060575319189365054,61.795749940169934,61.795749940169934,0.02862887332185037,0.053383114439070546,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.0,,cumulative,0.06029455497987481,61.57920711602689,61.57920711602689,0.028696795859234698,0.05302760854153765,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.05,,cumulative,0.05981001405566372,61.30109456140942,61.30109456140942,0.028721171905986453,0.052462673070340846,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.1,,cumulative,0.05889757035825026,60.846375679366325,60.846375679366325,0.028692125090994242,0.05143622995387374,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.15,,cumulative,0.06141920059314578,61.74284500572508,61.74284500572508,0.0290776717180509,0.05409997420478444,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.2,,cumulative,0.05967055711014608,61.15691576135075,61.15691576135075,0.028785821856346306,0.052268076738004245,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.25,,cumulative,0.06261923254998594,62.29018738135775,62.29018738135775,0.029117546983669116,0.055437683418438764,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.3,,cumulative,0.06278087957405228,62.41350326452497,62.41350326452497,0.029073019535847757,0.05564349355638869,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.35,,cumulative,0.062280652678172135,62.78024954428568,62.78024954428568,0.02848745023996388,0.05538361559924281,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.4,,cumulative,0.0667432685994768,63.880472714010864,63.880472714010864,0.029383404030873674,0.05992728486174175,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.45,,cumulative,0.06641648494486257,64.10959974644494,64.10959974644494,0.029000828809400882,0.059750325528811814,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.5,,cumulative,0.07156923358889111,65.3545424473351,65.3545424473351,0.029844516015417606,0.06504967379093259,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.55,,cumulative,0.07193024027273295,65.33622995750207,65.33622995750207,0.03001595061359129,0.06536820461398295,delta_m_map_offset_alpha_edge,abs_elat
sdss_invvar_dm_offset,16.6,,cumulative,0.07220777312414847,65.07799593860545,65.07799593860545,0.030427209404758942,0.06548394786042949,delta_m_map_offset_alpha_edge,abs_elat
